IDEspacio,Nombre del espacio,longitude,latitude,Responsable,Equipo humano, Trabajo remunerado alterno,Horas de trabajo,Perfiles,Sueldo/retribución económica,Sostenibilidad,Tipo de figura legal
106,Cineclub INEHRM,-99.191101,19.345121,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
107,Foro Cultural Azcapotzalco,-99.1516311,19.4728185,Hombre,De 6 a 10 personas,Sí,Sin información,Sin información,Sin información,Mixtos,Sin información
108,Siervos de la Cultura:Cineclub,-99.2056112,19.4733689,Hombre,De 3 a 5 personas,Sí,Sin información,Sin información,Sin información,Mixtos,Sin información
109,Videoteca Manuel Álvarez Bravo ,-99.1852112,19.4839412,Hombre,Dos personas,Sí,Sin información,Sin información,Sin información,Públicos,Sin información
110,Parque de Bolsillo Nueva Santa María,-99.1696633,19.4608844,Hombre,De 6 a 10 personas,Sí,Sin información,Sin información,Sin información,Donaciones ,Sin información
111,"Festival Internacional de Cine y Comedia, 24Risas por Segundo.",-99.16234053200596,19.411799279898165,Mujer,De 6 a 10 personas,Sin información,Sin información,Especializado,Sin información,Patrocinios,Sin información
112,Semillero de Copil,-99.1342656,19.4013943,Sin información,De 6 a 10 personas,Sin información,Sin información,Especializado,Sin información,Propios,Sociedad de responsabilidad limitada de capital variable
113,Ciclos de cine de Chapata Vive Café,-99.1548072232497,19.3968975146655,Mujer,De 6 a 10 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sociedad de responsabilidad limitada de capital variable
114,Los Cronopios sin fama,-99.1846849,19.3783738,Hombre,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sin información
115,Tiempo de Cine ,-99.1524907,19.3782637,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
116,Cine Móvil ToTo , -99.15964844920283,19.369737083835215,Hombre,De 3 a 5 personas,Sin información,Sin información,Especializado,Sin información,Mixtos,Sociedad de responsabilidad limitada de capital variable
117,Radio Cinema de Radio UNAM,-99.166135404281,19.3983105241605,Sin información,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
118,Cineclub Casa Patricio ,-99.1701144,19.39291,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
119,Sala de cine metro Zapata,-99.1650577,19.3707094,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
120,Universidad de la Tercera Edad Cumbres ,-99.1469694,19.3860084,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
121,Centro de Educación Continua Adultos Mayores Mixcoac,-99.1885404,19.3762214,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
122,Cinefilias,-99.1653135,19.349377,Sin información,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
123,Cineclub Cineteca 43,-99.1647339,19.3606529,Mujer,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
124,Cinito Cinedebate,-99.13462213385742,19.42808159449117,Mujer,De 6 a 10 personas,Sin información,Sin información,Especializado,Sin información,Mixtos,Asociación Civil
125,Cineclub de la Facultad de Arquitectura,-99.1874831680616,19.3311302397478,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
126,Disidentas,-99.1781203,19.3186969,Mujer,De 6 a 10 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
127,Centro Cultural Elena Garro,-99.1586304,19.348587,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
128,Sala Luis Buñuel. CCC,-99.1422655,19.3562773,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
129,Cineclub El Cuarto Amarillo Altillo Universidad,-99.1807662,19.3408218,Mujer,Dos personas,Sin información,Sin información,Especializado,Sin información,Comunitarios,Sin información
130,Cine club Filosofía y Letras,-99.1965054781978,19.3322191555431,Mujer,Una persona,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
131,Dandole vuelo a la hilacha,-99.120959,19.3034547,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
132,Cineclub Sin Límites UAM-X (Comunicación),-99.1023745250061,19.3034916838931,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
133,Cineclub de la División de Ciencias de la Comunicación y Diseño UAM Cuajimalpa,-99.2822939219825,19.352783906492,Hombre,De 6 a 10 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
134,Cine Foro Mayahuel ,-99.281682694349,19.3423022876523,Hombre,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Mixtos,Sin información
135,Tertulias cinematográficas (El 77 Centro Cultural Autogestivo),-99.1541720647033,19.428868639924,Mujer,Dos personas,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
136,Museo Casa de la Memoria Indómita,-99.1346883,19.4276917,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
137,Biblioteca Vasconcelos,-99.1507955,19.447369,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
138,Artesanas Colectiva                     (Punto Gozadera),-99.1438605426153,19.429856198866,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sin información
139,Centro Cultural de España en México,-99.1330071,19.4352452,Hombre,Una persona,Sin información,Sin información,Sin información,Sin información,Internacionales,Sin información
140,Cine Tonalá,-99.1604878017965,19.4089609499019,Hombre,Más de 10 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sociedad Anónima de Capital Variable
141,Casa Chicha,-99.159064,19.4145754,Hombre,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
142,Goethe- Institut Mexiko,-99.1632011,19.4197271,Mujer,Dos personas,Sin información,Sin información,Sin información,Sin información,Internacionales,No aplica
143,Cine La Nana,-99.1428912,19.4381352,Sin información,Dos personas,Sin información,Sin información,Sin información,Sin información,Sin recursos,Asociación Civil
144,Casa Manu Centro Humanista,-99.1359752456869,19.4364538381816,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Asociación Civil
145,Casa Refugio Citlatépetl,-99.1716566,19.4092044,Sin información,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
146,Cine Lido,-99.1775966910941,19.4073928016893,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
147,Cineclub Tornasolados: los colores de la diversidad,-99.1641848830986,19.4270128168662,Mujer,Dos personas,Sin información,Sin información,Sin información,Sin información,Públicos,Asociación Civil
148,Cine club Casa Barrio Tepito,-99.1232456171112,19.4423635673701,Hombre,Dos personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
149,Campamentos Unidos (Sede Zarco),-99.1458963,19.4424262,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Comunitarios,Sin información
150,Campamentos Unidos (Sede Zaragoza),-99.1479996935196,19.4495972405689,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Comunitarios,Sin información
151,Ciclo de cine en el Museo Indígena del INPI,-99.1313185,19.4519111,Hombre,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
152,Cine Debate at Poch@ House,-99.1609070106616,19.4121548015831,Sin información,De 3 a 5 personas,Sin información,Sin información,Especializado,Sin información,Mixtos,Sin información
153,Cineclub Casa Negra (antes Cine Oculto),-99.1719798392009,19.4162579818595,Hombre,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Mixtos,Sin información
154,Rebelar,-99.1633254769482,19.4178099265432,Mujer,Dos personas,Sin información,Sin información,Sin información,Sin información,Propios,Sin información
155,Cine Club Condesa (es el mismo que cineclub Casa Negra?),-99.1720656699066,19.4161871511649,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
156,Cinema Queer México,-99.13598468095233,19.43629338524972,Mujer,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Internacionales,Sin información
157,Ciclo de Cine- Debate. El Colegio Nacional,-99.1320170916921,19.4358332520533,Mujer,Más de 10 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
158,Estudiantes de Psicología (Universidad de Londres),-99.1597710981376,19.4162247653095,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
159,CineClub Munal,-99.1393557931722,19.4362187369008,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
160,Necios Bar ,-99.1770320272559,19.4116437152205,Mujer,Una persona,Sin información,Sin información,Sin perfil,Sin información,Sin información,Sin información
161,Círculo Psicoanalítico Mexicano ,-99.1746237,19.4118433,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
162,Claustro de Sor Juana,-99.1364598864893,19.4263996605873,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
163,Colectivo Cine Social (En el Museo Memoria y Tolerancia),-99.1444724959634,19.4341609400882,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Comunitarios,Sin información
164,Colectivo Productora Calles,-99.23637015582008,19.27405235120737,Mujer,Sin información,Sin información,Sin información,Especializado,Sin información,Mixtos,Sin información
165,Facultad de Cine,-99.1647726613132,19.4107403198976,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
166,Fundación para Ancianos Concepción Beistegui,-99.1384052,19.4276162,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
167,Cine Club La Galera,-99.1533416248242,19.4200661508265,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
168,Galería José María Velasco,-99.1323941,19.4479999,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
169,kinotecnia Cineclub,-99.1500703358248,19.4384027229305,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
170,La Casa del Cine Mx,-99.1375946,19.4308291,Hombre,Sin información,Sin información,Sin información,Especializado,Sin información,Sin información,Sin información
171,IIPSOCULTA (Casa de los amigos),-99.1545271,19.4381105,Hombre,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Sin recursos,Asociación Civil
172,Los realizadores,-99.203446978037,19.44078741058734,Sin información,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Patrocinios,Asociación Civil
173,Cine Club Itinerante JADEvolucion-arte,-99.1550175845889,19.4233159114203,Mujer,De 3 a 5 personas,Sin información,Sin información,Especializado,Sin información,Públicos,Asociación Civil
174,Sin elipsis,-99.15157173385856,19.384346415774143,Sin información,De 3 a 5 personas,Sin información,Sin información,Sin información,Sin información,Públicos,Sin información
175,We Are Todos,-99.1639295,19.4181733,Mujer,De 6 a 10 personas,Sin información,Sin información,Sin información,Sin información,Propios,Sin información
176,Museo Archivo De la Fotografía,-99.1321411,19.4349858,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
177,Museo Casa de Carranza,-99.163468,19.4311935,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
178,Museo de la Luz,-99.1300312088793,19.4362729318412,Hombre,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
179,Museo de la Mujer,-99.1320953,19.439209,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
180,Museo de las Constituciones,-99.1293281180769,19.4364632869242,Mujer,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
