IDEspacio,Nombre del espacio,longitude,latitude,Espacio físico permanente,Tipo de espacio físico,Espacio especializado,Tipo de equipamiento,Archivo fílmico,Videoteca,Tipo de archivo,Redes
35,Espacio de exhibición Orizaba 161, -99.15902157100848,19.414855489861093,Sí,Prestado,Adaptado,Equipamiento adecuado,No,No,Otro,No
36,"Cineclub ""Cinema Verde""",-99.14256936711867,19.36426837880653,No,Público,Adaptado,Equipamiento adecuado,Sí,No,Digital,No
37,UHLV , -99.16204950865185,19.504533835175675,Sí,Comunitario,Adaptado,Equipamiento insuficiente,No,No,Digital,No
38,Terminal Coyacán, -99.17278763057426,19.34805657977324,Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Digital,No
39,Casa Gallina AC. , -99.15996111892308,19.45083034702593,Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Físico,No
40,Cineteca San Lazaro,-99.11777360358317,19.43047343089623,Sí,Público,Sala de proyecciones,Equipamiento adecuado,No,No,Digital,Sí
41,ZIFF CINECLUB ,-99.15420150358338,19.421827266778003,No,Comunitario,Adaptado,Equipamiento mínimo,No,Sí,Digital,No
42,CINECLUB CULHUACÁN,-99.1095124643844,"
19.318648",Sí,Comunitario,Adaptado,Equipamiento adecuado,No,No,Digital,No
43,Cine Tlacuache, -99.01146480465135,19.254901680268958,Sí,Público,Adaptado,Equipamiento adecuado,No,Sí,Físico,No
44,Cinito Tlacuache La Villa ,-99.113922,19.4812995,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
45,LA CALACA Espacio Cultural ,-99.18577786309923,19.387988970132533,Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
46,Cinema Faraíso en Faro Tláhuac,-99.04633563711769,19.28590482219141,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Sin información,Sí
47,FARO Cosmos,-99.16616227474795,19.44383698886285,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Otro,No
48,Museo Comunitariode San Miguel Teotongo, -98.98769497474957,19.34388333810214,Sí,Comunitario,Adaptado,Equipamiento mínimo,Sí,No,Digital,No
49,Cine club Butaca Serdán- Preparatoria Carmen Serdán IEMS, -99.20075054775803,19.453562878023796,Sí,Público,Adaptado,Equipamiento mínimo,Sí,Sí,Físico,Sí
50,"Cineclub ""Vicente Rojo"" del Centro Cultural de la SHCP",-99.12882225103913,19.434663174234693,Sí,Público,Adaptado,Equipamiento mínimo,No,Sí,Físico,No
51,Cine Foro UPAVIG, -99.10229161851679,19.30369682357089,Sí,Propio,Sala de proyecciones,Equipamiento profesional,No,Sí,Físico,Sí
52,La Sabana de filmes,-98.9961505199202,19.3422079800243,Sí,Comunitario,Adaptado,Equipamiento mínimo,Sí,No,Físico,Sí
53,CineClubA7,-99.1502664413732,19.3509721456412,Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,Sí,Físico,Sí
54,Centro Cultural del México Contemporáneo, -99.13402882036509,19.43906160614384,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Otro,No
55,Ícaro Espacio,-99.19841734775994,19.339221074635663,No,Sin información,Adaptado,Equipamiento mínimo,No,No,Digital,No
56,Salón Rojo Cineclub, -99.13744684734921,19.43750694625864,Sí,Prestado,Adaptado,Equipamiento profesional,Sí,Sí,Físico,Sí
57,Cineclub LA VENTANA,-99.15116136084264,19.385816672702962,Sí,Privado,Adaptado,Equipamiento mínimo,Sí,No,Digital,Sí
58,Cine Club Revolución ,-99.15456893057285,19.43637929544602,Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Digital,Sí
59,Cineclub TAC toma de acción comunitaria, -99.13486815153186,19.487944943444052,Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Sin información,Sí
60,"La Grieta Cine (cineclub, laboratorio)", -99.14033798967886,19.37481974947214,Sí,Rentado,Adaptado,Equipamiento adecuado,Sí,No,Físico,No
61,Espacio de convivencia,-99.15632665940831,19.409941096791034,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Físico,Sí
62,Cineclub Jarillas,-99.10983840422878,19.39760762571872,Sí,Comunitario,Adaptado,Equipamiento adecuado,No,No,Otro,No
63,Cineclub Micelio,-99.1844156935196,19.4033687689994,Sí,Prestado,Adaptado,Equipamiento insuficiente,Sí,No,Digital,Sí
64,Cineclub Audiovideorama Parque Hundido,-99.17809244471539,19.37862610275024,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Sin información,Sí
65,Complejo cultural Barco Utopía ,-99.05716047618718,19.362562154318802,Sí,Público,Adaptado,Equipamiento profesional,No,No,Digital,No
66,Cineclub Mora (espacio de exhibición),-99.18510474232468,19.37608181160185,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Sin información,Sí
67,CERES-CINE CLUB ,-99.10132819999998,19.48731481352005,Sí,Comunitario,Adaptado,Equipamiento insuficiente,Sí,Sí,Físico,Sí
68,CINE CLUB Cine Vagabundo ,-99.0498364338605,19.310841286364802,Sí,Privado,Adaptado,Equipamiento mínimo,Sí,Sí,Físico,Sí
69,"Casa de Cultura ""La Villa""",-99.11430729628465,19.482923696761432,Sí,Público,Adaptado,Equipamiento adecuado,Sí,Sí,Digital,Sí
70,FARO Tecómitl,-98.9952336266707,19.2214694335082,Sí,Propio,Sala de cine,Equipamiento profesional,No,No,Digital,Sí
71,Centro Cultural La Pirámide ,-99.18989004735053,19.385939254832277,Sí,Público,Adaptado,Equipamiento insuficiente,No,No,No aplica,No
72,Centro cultural José Martí ,-99.14628968597354,19.437029825175696,Sí,Público,Sala de cine,Equipamiento adecuado,Sí,No,Físico,Sí
73,FARO de Oriente ,-99.0100822,19.3699235,Sí,Público,Adaptado,Equipamiento mínimo,No,No,Físico,Sí
74,Centro cultural Xavier Villaurrutia ,-99.16191517433369,19.423882918718174,Sí,Público,Adaptado,Equipamiento mínimo,Sí,No,Físico,Sí
75,Casa de Cultura El Sifón,-99.1195113091654,19.3718517470801,Sí,Comunitario,Adaptado,Equipamiento insuficiente,Sí,No,Digital,No
76,Cineclub Luciérnaga,-99.1697469324208,19.268179239174504,No,Comunitario,Sin información,Equipamiento adecuado,Sí,No,Físico,No
77,Museo del Pulque y las Pulquerías,-99.147062385566,19.4377071221992,Sí,Rentado,Adaptado,Equipamiento mínimo,No,No,Digital,No
78,Viendo LA VIDA CON ALEGRIA, -99.02076569727227,19.295145059893226,No aplica,No aplica,No aplica,Equipamiento insuficiente,Sí,No,Digital,No
79,Centro Cultural  y Laboratorio ,-99.19423055978685,19.286824026376667,Sí,Prestado,Adaptado,Equipamiento mínimo,No,No,Digital,No
80,Cineteca para raros,,,Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,No
81,Ovnibus,-99.15836364920175,19.411822360909554,Sí,Comunitario,Adaptado,Equipamiento insuficiente,Sí,Sí,Otro,No
82,Cineclub El Umbral ,-99.18955526209598,19.513448929751018,Sí,Privado,Adaptado,Equipamiento mínimo,Sí,Sí,Digital,Sí
83,Casa de las Artes Cuauhtenco,-99.09012004735564,19.1911281299955,Sí,Comunitario,Adaptado,Equipamiento mínimo,No,No,Otro,Sí
84,Cineclubes Foro arteria ,-99.042345462697,19.290074944654723,Sí,Privado,Sala de proyecciones,Equipamiento profesional,Sí,Sí,Físico,Sí
85,Cine Club Casa de las Bombas ,-99.07347654735132,19.35664515344252,Sí,Público,Adaptado,Equipamiento insuficiente,No,No,Físico,No
86,ENCUENTRO CINECLUB,-98.99683821851593,19.33528882718897,Sí,Comunitario,Adaptado,Equipamiento adecuado,Sí,Sí,Otro,No
87,Cine club Conagua,-99.18944373385979,19.337474506185753,Sí,Público,Adaptado,Equipamiento adecuado,No,No,Otro,No
88,CENTRO CULTURAL REAL UNDER / CINEMAUNDER,-99.14809170131998,19.339682180281837,Sí,Rentado,Adaptado,Equipamiento mínimo,Sí,No,Digital,Sí
89,Cineclub Cosmología México,-99.06952102036387,19.485071511954178,Sí,Prestado,Adaptado,Equipamiento mínimo,No,Sí,Digital,Sí
90,Casa ciclista Xochimilco ,-99.04774567618992,19.258083151659662,Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Otro,No
91,cineclub Infonavit Iztacalco ,-99.10578962298275,19.38622103578644,Sí,Comunitario,Adaptado,Equipamiento mínimo,No,No,Otro,No
92,Casa de la Primera Imprenta de América ,-99.13082252036519,19.43392747956824,Sí,Público,Sala de proyecciones,Equipamiento adecuado,No,No,Otro,Sí
93,“KILITA RESISTENCIA” taller/centro cultural ,-99.30755078782754,19.355608010459626,Sí,Privado,Adaptado,Equipamiento insuficiente,No,No,Digital,No
94,Uotan Studio,-99.17679716269376,19.41409887689078,Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Otro,No
95,Cineclub Cinema 1917,-99.06405154920347,19.345354466645695,Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
96,La pulguita cinéfila (foro cultural),-99.11722218650795,19.48160173193614,Sí,Privado,Adaptado,Equipamiento adecuado,Sí,Sí,Digital,No
97,FORO ELEFANTE (Espacio de exhibición independiente autogestivo) ,-99.19432632036904,19.286903922849724,Sí,Privado,Adaptado,Equipamiento mínimo,No,No,Digital,Sí
98,"Centro Universitario Cultural, A. C.",-99.18210231666404,19.335815773800963,Sí,Privado,Adaptado,Equipamiento adecuado,Sí,No,Celuloide,Sí
99,Cineclub CINEITIZ ,-99.0528847591217,19.373846196709312,Sí,Privado,Adaptado,Equipamiento adecuado,No,No,Otro,No
100,Comunidad nueva ,-99.14200786084098,19.447529749866618,Sí,Comunitario,Adaptado,Equipamiento insuficiente,No,No,Digital,Sí
101,CINECLUB Barrio Warrior Colectivo A.C.,-99.13845756084069,19.458029422905877,Sí,Rentado,Sala de proyecciones,Equipamiento mínimo,No,No,Digital,Sí
102,Alianza francesa - San Ángel,-99.1862279,19.34839,Sí,Sin información,Sala de cine,Equipamiento insuficiente,Sí,Sin información,Digital,Sin información
103,Cine Club El Carmen en Familia ,-99.1897902690001,19.3453485065636,Sí,No aplica,Auditorio,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
104,Cineclub Comunicación IBERO,-99.2644415769556,19.3711311826042,Sí,No aplica,Sala de cine,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
105,LA ARAÑA,-99.2403137,19.3626389,Sí,Sin información,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
106,Cineclub INEHRM,-99.191101,19.345121,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
107,Foro Cultural Azcapotzalco,-99.1516311,19.4728185,Sí,No aplica,Adaptado,Equipamiento adecuado,Sí,Sin información,Sin información,Sin información
108,Siervos de la Cultura:Cineclub,-99.2056112,19.4733689,No,Sin información,Sin información,Sin información,Sí,Sin información,Físico,Sin información
109,Videoteca Manuel Álvarez Bravo ,-99.1852112,19.4839412,Sin información,No aplica,Adaptado,Sin información,No,Sin información,Sin información,Sí
110,Parque de Bolsillo Nueva Santa María,-99.1696633,19.4608844,Sí,No aplica,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
111,"Festival Internacional de Cine y Comedia, 24Risas por Segundo.",-99.16234053200596,19.411799279898165,No,Prestado,No aplica,No se cuenta con equipamiento,Sí,Sin información,Sin información,Sin información
112,Semillero de Copil,-99.1342656,19.4013943,Sí,Sin información,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
113,Ciclos de cine de Chapata Vive Café,-99.1548072232497,19.3968975146655,Sí,Rentado ,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
114,Los Cronopios sin fama,-99.1846849,19.3783738,Sí,Prestado,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
115,Tiempo de Cine ,-99.1524907,19.3782637,Sí,No aplica,Auditorio,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
116,Cine Móvil ToTo , -99.15964844920283,19.369737083835215,No,No aplica,Adaptado,Equipamiento adecuado,No,Sin información,Sin información,Sin información
117,Radio Cinema de Radio UNAM,-99.166135404281,19.3983105241605,Sí,No aplica,Sala de cine,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
118,Cineclub Casa Patricio ,-99.1701144,19.39291,Sí,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
119,Sala de cine metro Zapata,-99.1650577,19.3707094,Sí,No aplica,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sí
120,Universidad de la Tercera Edad Cumbres ,-99.1469694,19.3860084,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
121,Centro de Educación Continua Adultos Mayores Mixcoac,-99.1885404,19.3762214,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
122,Cinefilias,-99.1653135,19.349377,Sin información,Sin información,Sin información,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
123,Cineclub Cineteca 43,-99.1647339,19.3606529,Sí,No aplica,Adaptado,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
124,Cinito Cinedebate,-99.13462213385742,19.42808159449117,Sí,Prestado,Adaptado,Sin información,Sí,Sí,Sin información,Sin información
125,Cineclub de la Facultad de Arquitectura,-99.1874831680616,19.3311302397478,Sin información,No aplica,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
126,Disidentas,-99.1781203,19.3186969,Sin información,No aplica,Sin información,Sin información,Sí,Sin información,Sin información,Sin información
127,Centro Cultural Elena Garro,-99.1586304,19.348587,Sí,No aplica,Auditorio,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
128,Sala Luis Buñuel. CCC,-99.1422655,19.3562773,Sí,No aplica,Sala de cine,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
129,Cineclub El Cuarto Amarillo Altillo Universidad,-99.1807662,19.3408218,Sí,No aplica,Adaptado,Equipamiento mínimo,No,Sin información,Sin información,Sin información
130,Cine club Filosofía y Letras,-99.1965054781978,19.3322191555431,Sí,No aplica,Sala de cine,Equipamiento adecuado,Sí,Sin información,Sin información,Sin información
131,Dandole vuelo a la hilacha,-99.120959,19.3034547,Sí,No aplica,Auditorio,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
132,Cineclub Sin Límites UAM-X (Comunicación),-99.1023745250061,19.3034916838931,Sí,No aplica,Auditorio,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
133,Cineclub de la División de Ciencias de la Comunicación y Diseño UAM Cuajimalpa,-99.2822939219825,19.352783906492,Sí,No aplica,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
134,Cine Foro Mayahuel ,-99.281682694349,19.3423022876523,Sí,Sin información,Adaptado,Sin información,No,Sin información,Sin información,Sin información
135,Tertulias cinematográficas (El 77 Centro Cultural Autogestivo),-99.1541720647033,19.428868639924,Sí,Rentado ,Adaptado,Equipamiento adecuado,No,Sin información,Sin información,Sin información
136,Museo Casa de la Memoria Indómita,-99.1346883,19.4276917,Sin información,Comodato,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
137,Biblioteca Vasconcelos,-99.1507955,19.447369,Sin información,No aplica,Auditorio,Equipamiento adecuado,Sí,Sin información,Sin información,Sin información
138,Artesanas Colectiva                     (Punto Gozadera),-99.1438605426153,19.429856198866,Sí,Sin información,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
139,Centro Cultural de España en México,-99.1330071,19.4352452,Sí,No aplica,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
140,Cine Tonalá,-99.1604878017965,19.4089609499019,Sí,Propio,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
141,Casa Chicha,-99.159064,19.4145754,Sí,Sin información,Adaptado,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
142,Goethe- Institut Mexiko,-99.1632011,19.4197271,Sí,No aplica,Auditorio,Equipamiento profesional,Sí,Sin información,Sin información,Sin información
143,Cine La Nana,-99.1428912,19.4381352,Sí,Comodato,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
144,Casa Manu Centro Humanista,-99.1359752456869,19.4364538381816,Sí,Sin información,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
145,Casa Refugio Citlatépetl,-99.1716566,19.4092044,Sin información,Sin información,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
146,Cine Lido,-99.1775966910941,19.4073928016893,Sí,Sin información,Sala de cine,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
147,Cineclub Tornasolados: los colores de la diversidad,-99.1641848830986,19.4270128168662,Sí,Sin información,Adaptado,Equipamiento adecuado,Sí,Sin información,Sin información,Sin información
148,Cine club Casa Barrio Tepito,-99.1232456171112,19.4423635673701,Sí,Recuperado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
149,Campamentos Unidos (Sede Zarco),-99.1458963,19.4424262,Sí,Sin información,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
150,Campamentos Unidos (Sede Zaragoza),-99.1479996935196,19.4495972405689,Sí,Sin información,Adaptado,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
151,Ciclo de cine en el Museo Indígena del INPI,-99.1313185,19.4519111,Sí,No aplica,Auditorio,Equipamiento insuficiente,Sí,Sin información,Sin información,Sin información
152,Cine Debate at Poch@ House,-99.1609070106616,19.4121548015831,Sí,Propio,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
153,Cineclub Casa Negra (antes Cine Oculto),-99.1719798392009,19.4162579818595,No,Sin información,Adaptado,Sin información,No,Sin información,Sin información,Sin información
154,Rebelar,-99.1633254769482,19.4178099265432,Sí,Recuperado,Adaptado,Equipamiento adecuado,No,Sin información,Sin información,Sin información
155,Cine Club Condesa (es el mismo que cineclub Casa Negra?),-99.1720656699066,19.4161871511649,Sí,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
156,Cinema Queer México,-99.13598468095233,19.43629338524972,Sí,Sin información,Sin información,Sin información,No,Sin información,Sin información,Sin información
157,Ciclo de Cine- Debate. El Colegio Nacional,-99.1320170916921,19.4358332520533,Sí,No aplica,Adaptado,Equipamiento mínimo,No,Sin información,Sin información,Sin información
158,Estudiantes de Psicología (Universidad de Londres),-99.1597710981376,19.4162247653095,Sí,No aplica,Sala de cine,Equipamiento mínimo,Sin información,Sin información,Sin información,Sin información
159,CineClub Munal,-99.1393557931722,19.4362187369008,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
160,Necios Bar ,-99.1770320272559,19.4116437152205,Sí,Sin información,Adaptado,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sin información
161,Círculo Psicoanalítico Mexicano ,-99.1746237,19.4118433,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
162,Claustro de Sor Juana,-99.1364598864893,19.4263996605873,Sin información,Sin información,Sin información,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
163,Colectivo Cine Social (En el Museo Memoria y Tolerancia),-99.1444724959634,19.4341609400882,Sin información,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
164,Colectivo Productora Calles,-99.23637015582008,19.27405235120737,No,Sin información,Adaptado,Equipamiento insuficiente,Sin información,Sin información,Sin información,Sí
165,Facultad de Cine,-99.1647726613132,19.4107403198976,Sin información,Privado,Adaptado,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
166,Fundación para Ancianos Concepción Beistegui,-99.1384052,19.4276162,Sí,Sin información,Adaptado,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
167,Cine Club La Galera,-99.1533416248242,19.4200661508265,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
168,Galería José María Velasco,-99.1323941,19.4479999,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
169,kinotecnia Cineclub,-99.1500703358248,19.4384027229305,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
170,La Casa del Cine Mx,-99.1375946,19.4308291,Sin información,Sin información,Sala de cine,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
171,IIPSOCULTA (Casa de los amigos),-99.1545271,19.4381105,Sin información,Comunitario,Adaptado,Equipamiento mínimo,No,Sin información,Sin información,Sin información
172,Los realizadores,-99.203446978037,19.44078741058734,Sin información,Sin información,Sin información,Sin información,Sí,Sin información,Sin información,Sin información
173,Cine Club Itinerante JADEvolucion-arte,-99.1550175845889,19.4233159114203,Sí,No aplica,Adaptado,Equipamiento mínimo,Sí,Sin información,Sin información,Sin información
174,Sin elipsis,-99.15157173385856,19.384346415774143,Sí,No aplica,Sala de cine,Sin información,No,Sin información,Sin información,Sin información
175,We Are Todos,-99.1639295,19.4181733,Sí,Sin información,Adaptado,Equipamiento mínimo,Sin información,Sin información,Sin información,Sin información
176,Museo Archivo De la Fotografía,-99.1321411,19.4349858,Sí,No aplica,Adaptado,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
177,Museo Casa de Carranza,-99.163468,19.4311935,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
178,Museo de la Luz,-99.1300312088793,19.4362729318412,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
179,Museo de la Mujer,-99.1320953,19.439209,Sin información,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
180,Museo de las Constituciones,-99.1293281180769,19.4364632869242,Sin información,No aplica,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
181,Museo del Templo Mayor,-99.131881,19.4346038,Sí,No aplica,Auditorio,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
182,Museo Nacional de las Culturas,-99.1303977,19.4332126,Sí,No aplica,Sala de cine,Sin información,Sin información,Sin información,Sin información,Sin información
183,Cinematógrafo del Museo Universitario del Chopo ,-99.1567171,19.441993,Sí,No aplica,Sala de cine,Equipamiento profesional,Sin información,Sin información,Sin información,Sin información
184,Prevenidos Culturales,-99.17733,19.4100606,Sin información,No aplica,Adaptado,Equipamiento adecuado,Sin información,Sin información,Sin información,Sin información
185,PULQUECINEMA,-99.1641085,19.4192674,Sí,Privado,Adaptado,Sin información,Sin información,Sin información,Sin información,Sin información
186,ReverdeSer,-99.1620187465087,19.409191339973646,Sin información,Comunitario,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
187,Sprockets Cine Club Infantil ,-99.1605629036428,19.4089483009969,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información,Sin información
188,Sueños libres (Centro Urbano Doctores) ,-99.1448287,19.4229482,Sí,Sin información,Adaptado,Equipamiento insuficiente,No,Sin información,Sin información,Sin información
